Año,Menores de 15 años,15 a 19 años,20 a 24 años,25 a 29 años,30 a 34 años,35 a 39 años,40 a 44 años,45 a 49 años,50 y más años
2023,164,6428,28334,45178,50523,31677,8777,602,32
2022,202,7161,31670,50637,56011,33723,9028,561,30
2021,158,7044,30322,47769,52069,30989,8257,441,18
2020,222,9480,35666,53518,54226,32632,8488,528,27
2019,285,11692,40194,58301,56105,34100,8837,520,20
2018,389,14252,44659,61397,56396,34942,8940,520,25
2017,472,16897,45057,59455,53929,33523,9095,537,19
2016,649,20521,48888,61734,56325,33565,9497,499,14
2015,717,25448,54261,63210,57373,33596,9545,491,13
2014,852,29454,57612,62810,57520,32888,9302,487,15
2013,902,31506,56898,58140,53625,31614,8814,448,12
2012,879,34305,58146,57491,52386,31475,8449,466,8
2011,955,36258,59378,58848,50671,32082,8653,480,6
2010,963,38047,59884,59623,50841,32300,8478,449,5
